Pesticide compound,USGS Parameter code,Analyte ID,Reporting units,MDL (ng/L),LRL (ng/L),Lab Code,CASRN,Molecular weight,Molecular formula,Analytical use,Chemical class,Analytical method group,Pesticide group,Qualifier code,New USGS analyte,,SMILES
Terbufos sulfone,68703,68703LCM60,ng/L,5,11,9030,56070-16-7,320.4,C9H21O4PS3,Degradate,organothiophosphate,organophosphate,Terbufos,A,No,,CCOP(OCC)(SCS(=O)(C(C)(C)C)=O)=S
Terbufos sulfoxide,68704,68704LCM60,ng/L,1,3,9030,10548-10-4,304.4,C9H21O3PS3,Degradate,organothiophosphate,organophosphate,Terbufos,A,No,,S=P(OCC)(SCS(C(C)(C)C)=O)OCC
Terbuthylazine,66651,66651LCM60,ng/L,1,3,9030,5915-41-3,229.7,C9H16ClN5,Pesticide,triazine,triazine,Terbuthylazine,A,No,,CCNc1nc(Cl)nc(NC(C)(C)C)n1
Tetraconazole,66654,66654LCM60,ng/L,3,6,9030,112281-77-3,372.2,C13H11Cl2F4N3O,Pesticide,conazole,fungicide,Tetraconazole,A,No,,FC(F)C(F)(F)OCC(Cn1cncn1)c2ccc(Cl)cc2Cl
Thiobencarb,65107,65107LCM60,ng/L,1,2,9030,28249-77-6,257.8,C12H16ClNOS,Pesticide,thiocarbamate,carbamate & thiocarbamate,Thiobencarb,A,No,,CCN(C(SCc1ccc(Cl)cc1)=O)CC
trans-Permethrin,68708,68708LCM60,ng/L,2,4,9030,61949-77-7,391.3,C21H20Cl2O3,Pesticide,pyrethroid,pyrethroid & phenylpyrazine,Permethrin,A,No,,Cl/C(Cl)=C/[C@@H]3[C@@H](C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C
Triallate,68710,68710LCM60,ng/L,8,16,9030,2303-17-5,304.7,C10H16Cl3NOS,Pesticide,thiocarbamate,carbamate & thiocarbamate,Triallate,A,No,,CC(N(C(SC/C(Cl)=C(Cl)\Cl)=O)C(C)C)C
Tribuphos,68711,68711LCM60,ng/L,1,2,9030,78-48-8,314.5,C12H27OPS3,Pesticide,organothiophosphate,organophosphate,Tribuphos,A,No,,CCCCSP(SCCCC)(SCCCC)=O
Triclopyr,68712,68712LCM60,ng/L,44,88,9031,55335-06-3,256.5,C7H4Cl3NO3,Pesticide,chloropyridinyl,acid,Triclopyr,A,No,,OC(COc1c(Cl)cc(Cl)c(Cl)n1)=O
Trifloxystrobin,66660,66660LCM60,ng/L,1,2,9030,141517-21-7,408.4,C20H19F3N2O4,Pesticide,strobin,fungicide,Trifloxystrobin,A,No,,C2=C(C(=N/OCC1=C(/C(=N/OC)C(OC)=O)C=CC=C1)/C)C=CC=C2C(F)(F)F
Surrogates:,,,,,,,,,,,,,,,,,
Acetochlor-d11 (surrogate),90517,90517LCM60,-,-,-,9030,1189897-44-6,280.8,C14H7D13ClNO2,Internal standard,,acetanilide & amide,Acetochlor,,na,,[2H]c1c([2H])c(C([2H])(C([2H])([2H])[2H])[2H])c(N(C(CCl)=O)COCC)c(C([2H])([2H])[2H])c1[2H]
Alachlor-d13 (surrogate),90518,90518LCM60,-,-,-,9030,1015856-63-9,282.8,C14H7D13ClNO2,Internal standard,,acetanilide & amide,Alachlor,,na,,[2H]C([2H])(C([2H])(c1c(N(COC)C(CCl)=O)c(C([2H])(C([2H])([2H])[2H])[2H])c([2H])c([2H])c1[2H])[2H])[2H]
Butachlor SA (surrogate),90624,90624LCM60,-,-,-,9031,187022-12-4,357.5,C17H27NO5S,Internal standard,,acetanilide & amide,Butachlor SA,,na,,O=S(CC(N(C1=C(CC)C=CC=C1CC)COCCCC)=O)(O)=O
Dimethachlor SA (surrogate),90625,90625LCM60,-,-,-,9031,-,301.4,C13H19NO5S,Internal standard,,acetanilide & amide,Dimethachlor SA,,na,,O=S(CC(N(C1=C(C)C=CC=C1C)CCOC)=O)(O)=O
Metolachlor-d6 (surrogate),90553,90553LCM60,-,-,-,9030,-,289.8,C15H16D6ClNO2,Internal standard,,acetanilide & amide,Metolachlor,,na,,[2H]C([2H])(C(C([2H])(OC)[2H])(N(C(CCl)=O)c1c(CC)cccc1C)[2H])[2H]
"2,4-D-d3 (surrogate)",91986,91986LCM60,-,-,-,9031,202480-67-9,224.1,C8H3D3Cl2O3,Internal standard,,acid,"2,4-D",,na,,[2H]c1c(OCC(O)=O)c(Cl)c([2H])c(Cl)c1[2H]
